,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
193,194,[text-embedding-3-small](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,1536.0,8191.0,,,66.86,55.03,36.22,,,,80.94,50.45,
194,195,[voyage-3.5 (output_dtype=int8)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,,,67.55,52.95,36.45,,,,,64.01,
195,196,[voyage-3.5 (output_dtype=binary)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,,,63.81,51.14,35.7,,,,,58.65,
196,197,[text-embedding-3-large](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,3072.0,8191.0,,,68.78,59.84,37.21,,,,,62.17,
197,198,[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base),99%,582.0,0.305,768.0,8192.0,,,,60.09,24.11,,0.72,,82.37,68.92,
198,199,[text-embedding-3-large (embed_dim=512)](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,512.0,8191.0,,,66.3,58.35,34.79,,,,,82.94,
199,200,[cadet-embed-base-v1](https://huggingface.co/manveertamber/cadet-embed-base-v1),97%,418.0,0.109,768.0,512.0,,,,,,,,,,61.91,
200,201,[nb-sbert-base](https://huggingface.co/NbAiLab/nb-sbert-base),100%,678.0,0.178,4096.0,75.0,,,72.03,56.03,30.68,,,,,45.98,
201,202,[text-embedding-3-small (embed_dim=512)](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,512.0,8191.0,,,65.38,54.15,34.42,,,,,68.97,
202,203,[e5-large-trm-nl](https://huggingface.co/clips/e5-large-trm-nl),99%,1355.0,0.355,1024.0,514.0,,,,65.15,43.62,,6.5,,87.18,90.94,
203,204,[mmBERTscandi-base-embedding](https://huggingface.co/emillykkejensen/Qwen3-Embedding-Scandi-0.6B),100%,1171.0,0.307,768.0,8192.0,,,55.2,61.57,37.62,,,,,47.61,
204,205,[e5-base-trm-nl](https://huggingface.co/clips/e5-base-trm-nl),99%,237.0,0.124,768.0,514.0,,,,60.4,41.21,,5.19,,87.38,91.43,
205,206,[EmbeddingGemma-Scandi-300m](https://huggingface.co/emillykkejensen/EmbeddingGemma-Scandi-300m),99%,578.0,0.308,768.0,2048.0,,,61.6,56.44,35.64,,,,,48.62,
206,207,[Qwen3-Embedding-Scandi-0.6B](https://huggingface.co/emillykkejensen/Qwen3-Embedding-Scandi-0.6B),99%,2272.0,0.596,1024.0,32768.0,,,56.89,57.41,36.59,,,,,39.51,
207,208,[voyage-multimodal-3](https://huggingface.co/voyageai/voyage-multimodal-3),100%,,,1024.0,32768.0,,,65.52,51.37,31.77,,,,,74.32,
208,209,[e5-small-trm-nl](https://huggingface.co/clips/e5-small-trm-nl),99%,78.0,0.041,384.0,512.0,,,,58.55,38.87,,5.04,,87.09,90.56,
209,210,[jina-reranker-v3](https://huggingface.co/jinaai/jina-reranker-v3),97%,1138.0,0.597,,131072.0,,,,,,,,,67.84,,
210,211,[xlm-roberta-base](https://huggingface.co/FacebookAI/xlm-roberta-base),100%,1064.0,0.278,768.0,512.0,,,27.53,57.24,26.85,,,,,19.06,
211,212,[xlm-roberta-large](https://huggingface.co/FacebookAI/xlm-roberta-large),100%,2141.0,0.56,1024.0,512.0,,,19.14,59.49,23.44,,,,,20.66,
212,213,[Querit](https://huggingface.co/Querit/Querit),99%,9383.0,4.92,1024.0,4096.0,,,,,,,,,62.57,,
213,214,[xlm-roberta-ua-distilled](https://github.com/panalexeu/xlm-roberta-ua-distilled/tree/main),100%,1061.0,0.278,768.0,512.0,,,70.51,,40.41,,,,,76.49,
214,215,[dfm-sentence-encoder-large](https://huggingface.co/KennethEnevoldsen/dfm-sentence-encoder-large),100%,1554.0,0.355,1024.0,512.0,,,50.95,53.83,22.74,,,,,42.33,
215,216,[dfm-sentence-encoder-medium](https://huggingface.co/KennethEnevoldsen/dfm-sentence-encoder-medium),100%,475.0,0.124,768.0,512.0,,,62.16,47.79,3.16,,,,,41.54,
216,217,[gtr-t5-large](https://huggingface.co/sentence-transformers/gtr-t5-large),100%,639.0,0.336,768.0,512.0,,,,49.38,26.42,,3.02,,78.34,76.06,
217,218,[sentence-t5-large](https://huggingface.co/sentence-transformers/sentence-t5-large),100%,639.0,0.336,768.0,512.0,,,,49.34,29.94,,2.79,,77.42,68.57,
218,219,[m2v-dfm-large](https://huggingface.co/rasgaard/m2v-dfm-large),100%,87.0,0.023,256.0,,,,38.02,53.64,5.68,,,,,33.45,
219,220,[jina-embedding-b-en-v1](https://huggingface.co/jinaai/jina-embedding-b-en-v1),100%,420.0,0.11,768.0,512.0,,,,44.73,11.76,,3.58,,73.03,58.0,
220,221,[atles-champion-embedding](https://huggingface.co/spartan8806/atles-champion-embedding),99%,420.0,0.109,768.0,512.0,,,,,,,,,,,74.03
221,222,[model2vecdk-stem](https://huggingface.co/andersborges/model2vecdk-stem),100%,185.0,0.049,256.0,,,,40.21,45.06,5.15,,,,,25.56,
222,223,[sentence-t5-base](https://huggingface.co/sentence-transformers/sentence-t5-base),100%,209.0,0.223,768.0,512.0,,,,45.21,23.8,,2.24,,73.28,55.93,
223,224,[model2vecdk](https://huggingface.co/andersborges/model2vecdk),100%,183.0,0.048,256.0,,,,40.57,45.2,4.85,,,,,21.05,
224,225,[MicroLlama-text-embedding](https://huggingface.co/keeeeenw/MicroLlama-text-embedding),100%,1037.0,0.272,1024.0,2048.0,,,,65.93,43.45,,,,,35.44,
225,226,[Solon-embeddings-mini-beta-1.1](https://huggingface.co/OrdalieTech/Solon-embeddings-mini-beta-1.1),100%,808.0,0.212,768.0,8192.0,,,,66.34,43.62,,,65.02,73.52,,
226,227,[bge-m3-unsupervised](https://huggingface.co/BAAI/bge-m3-unsupervised),98%,2167.0,0.568,1024.0,8192.0,,,,66.33,,,,,90.71,55.49,
227,228,[jina-embedding-s-en-v1](https://huggingface.co/jinaai/jina-embedding-s-en-v1),100%,134.0,0.035,512.0,512.0,,,,41.8,6.64,,2.29,,74.06,48.16,
228,229,[FRIDA](https://huggingface.co/ai-forever/FRIDA),83%,3141.0,0.823,1536.0,512.0,,,,79.49,,,64.64,66.45,77.02,,
229,230,[XLMRoberta-en-da-sv-nb](https://huggingface.co/KFST/XLMRoberta-en-da-sv-nb),⚠️ NA,1061.0,0.278,768.0,512.0,,,57.91,48.22,,,,,,,
230,231,[BERTA](https://huggingface.co/sergeyzh/BERTA),83%,489.0,0.128,768.0,512.0,,,,73.96,,,73.01,65.74,75.16,,
231,232,[sarashina-embedding-v2-1b](https://huggingface.co/sbintuitions/sarashina-embedding-v2-1b),100%,4669.0,1.224,1792.0,8192.0,,,,76.03,51.26,,,,,,82.56
232,233,[ruri-large](https://huggingface.co/cl-nagoya/ruri-large),⚠️ NA,644.0,0.337,1024.0,512.0,,,,74.25,42.86,,,,,,82.66
233,233,[bm25s](https://github.com/xhluca/bm25s),⚠️ NA,,,,,,,,,,,,,,34.88,
234,235,[ruri-v3-310m](https://huggingface.co/cl-nagoya/ruri-v3-310m),99%,1200.0,0.315,768.0,8192.0,,,,76.4,49.56,,,,,,77.97
235,236,[ruri-large-v2](https://huggingface.co/cl-nagoya/ruri-large-v2),⚠️ NA,1287.0,0.337,1024.0,512.0,,,,73.75,41.85,,,,,,82.63
236,237,[rubert-mini-frida](https://huggingface.co/sergeyzh/rubert-mini-frida),100%,123.0,0.032,312.0,2048.0,,,,64.66,,,57.04,60.36,71.12,,
237,238,[sarashina-embedding-v1-1b](https://huggingface.co/sbintuitions/sarashina-embedding-v1-1b),100%,4669.0,1.224,1792.0,8192.0,,,,75.39,43.54,,,,,,79.54
238,239,[ruri-base](https://huggingface.co/cl-nagoya/ruri-base),⚠️ NA,212.0,0.111,768.0,512.0,,,,70.44,47.5,,,,,,82.93
239,240,[ruri-v3-130m](https://huggingface.co/cl-nagoya/ruri-v3-130m),99%,504.0,0.132,512.0,8192.0,,,,75.23,47.33,,,,,,73.93
240,241,[ruri-v3-70m](https://huggingface.co/cl-nagoya/ruri-v3-70m),99%,140.0,0.07,256.0,8192.0,,,,73.6,47.85,,,,,,75.85
241,242,[ruri-base-v2](https://huggingface.co/cl-nagoya/ruri-base-v2),⚠️ NA,424.0,0.111,768.0,512.0,,,,70.23,46.9,,,,,,82.76
242,243,[ruri-v3-30m](https://huggingface.co/cl-nagoya/ruri-v3-30m),100%,140.0,0.037,256.0,8192.0,,,,70.02,45.7,,,,,,81.4
243,244,[USER2-base](https://huggingface.co/collections/deepvk/user2-6802650d7210f222ec60e05f),95%,568.0,0.149,768.0,8192.0,,,,69.47,,,44.05,56.38,69.73,,
244,245,[Hakim](https://huggingface.co/MCINext/Hakim),100%,475.0,0.124,768.0,512.0,,,,69.42,,,,,88.92,67.76,
245,246,[Tooka-SBERT-V2-Large](https://huggingface.co/PartAI/Tooka-SBERT-V2-Large),⚠️ NA,1347.0,0.353,1024.0,512.0,,,,67.85,,,,,86.48,67.92,
246,247,[Tooka-SBERT-V2-Small](https://huggingface.co/PartAI/Tooka-SBERT-V2-Small),⚠️ NA,496.0,0.123,768.0,512.0,,,,66.02,,,,,85.25,69.3,
247,248,[mdbr-leaf-ir](https://huggingface.co/MongoDB/mdbr-leaf-ir),100%,86.0,0.023,768.0,512.0,,,,,,,,,,46.67,
248,249,[USER2-small](https://huggingface.co/collections/deepvk/user2-6802650d7210f222ec60e05f),95%,131.0,0.034,384.0,8192.0,,,,66.39,,,39.44,54.02,66.03,,
249,250,[Hakim-unsup](https://huggingface.co/MCINext/Hakim-unsup),100%,475.0,0.124,768.0,512.0,,,,66.99,,,,,82.55,67.67,
250,251,[Hakim-small](https://huggingface.co/MCINext/Hakim-small),100%,148.0,0.039,512.0,512.0,,,,63.95,,,,,86.69,64.99,
251,252,[Tooka-SBERT](https://huggingface.co/PartAI/Tooka-SBERT),⚠️ NA,1347.0,0.353,1024.0,512.0,,,,63.19,,,,,80.71,52.73,
252,253,[QZhou-Embedding-Zh](http://huggingface.co/Kingsoft-LLM/QZhou-Embedding-Zh),100%,29431.0,7.576,1792.0,8192.0,,,,,,,,,68.27,93.46,89.98
253,254,[Yuan-embedding-2.0-zh](https://huggingface.co/IEITYuan/Yuan-embedding-2.0-zh),99%,1242.0,0.327,1792.0,512.0,,,,,,,,,71.14,95.22,83.57
254,255,[Youtu-Embedding](https://huggingface.co/tencent/Youtu-Embedding),99%,,2.673,2048.0,8192.0,,,,,,,,,73.15,91.94,83.18
255,256,[text-embedding-ada-002](https://openai.com/index/new-and-improved-embedding-model/),⚠️ NA,,,1536.0,8191.0,,,66.67,49.38,,,,,,,
256,257,[ritrieve_zh_v1](https://huggingface.co/richinfoai/ritrieve_zh_v1),91%,1242.0,0.326,1792.0,512.0,,,,,,,,,68.47,92.32,81.43
257,258,[fabert](https://huggingface.co/sbunlp/fabert),100%,475.0,0.124,768.0,512.0,,,,54.71,,,,,77.43,38.26,
258,259,[bge-base-zh-v1.5](https://huggingface.co/BAAI/bge-base-zh-v1.5),100%,416.0,0.109,768.0,512.0,,,,49.23,,,,52.23,,13.69,
259,260,[bge-large-zh-v1.5](https://huggingface.co/BAAI/bge-large-zh-v1.5),100%,1278.0,0.335,1024.0,512.0,,,,49.88,,,,52.86,,11.85,
260,261,[bert-base-parsbert-uncased](https://huggingface.co/HooshvareLab/bert-base-parsbert-uncased),100%,621.0,0.163,768.0,512.0,,,,60.13,,,,,73.86,28.08,
261,262,[TookaBERT-Base](https://huggingface.co/PartAI/TookaBERT-Base),100%,469.0,0.123,768.0,512.0,,,,60.32,,,,,73.95,25.67,
262,263,[PawanEmbd-68M](https://huggingface.co/dmedhi/PawanEmbd-68M),96%,260.0,0.068,768.0,512.0,,,,63.19,,,,78.13,,,49.2
263,264,[bert-zwnj-wnli-mean-tokens](https://huggingface.co/m3hrdadfi/bert-zwnj-wnli-mean-tokens),100%,451.0,0.118,768.0,512.0,,,,53.3,,,,,73.28,24.63,
264,265,[opensearch-neural-sparse-encoding-doc-v3-gte](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v3-gte),100%,549.0,0.137,30522.0,8192.0,,,,,,,,,,47.38,
265,266,[opensearch-neural-sparse-encoding-doc-v3-distill](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v3-distill),100%,267.0,0.066,30522.0,512.0,,,,,,,,,,46.81,
266,267,[roberta-zwnj-wnli-mean-tokens](https://huggingface.co/m3hrdadfi/roberta-zwnj-wnli-mean-tokens),100%,451.0,0.118,768.0,514.0,,,,52.08,,,,,72.11,22.3,
267,268,[bge-small-zh-v1.5](https://huggingface.co/BAAI/bge-small-zh-v1.5),100%,91.0,0.033,512.0,512.0,,,,46.9,,,,49.13,,10.94,
268,269,[opensearch-neural-sparse-encoding-doc-v2-distill](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill),100%,267.0,0.066,30522.0,512.0,,,,,,,,,,45.01,
269,270,[opensearch-neural-sparse-encoding-doc-v2-mini](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v2-mini),100%,86.0,0.023,30522.0,512.0,,,,,,,,,,44.96,
270,271,[text2vec-base-chinese](https://huggingface.co/shibing624/text2vec-base-chinese),100%,390.0,0.102,768.0,512.0,,,,48.11,,,,50.97,,6.65,
271,272,[sentence-transformer-parsbert-fa](https://huggingface.co/myrkur/sentence-transformer-parsbert-fa),100%,621.0,0.163,768.0,512.0,,,,44.8,,,,,61.47,20.5,
272,273,[MoD-Embedding](https://huggingface.co/bflhc/MoD-Embedding),99%,7671.0,4.022,2560.0,32768.0,,,,,,,,,,78.57,
273,274,[Octen-Embedding-4B](https://huggingface.co/bflhc/Octen-Embedding-4B),99%,7671.0,4.022,2560.0,32768.0,,,,,,,,,,74.64,
274,275,[voyage-4-large (embed_dim=2048)](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,2048.0,32000.0,,,,,,,,,,56.72,
275,276,[jina-embeddings-v4](https://huggingface.co/jinaai/jina-embeddings-v4),97%,7500.0,3.935,2048.0,32768.0,,,,,,,,,,56.53,
276,277,[Octen-Embedding-0.6B](https://huggingface.co/bflhc/Octen-Embedding-0.6B),99%,1136.0,0.596,1024.0,32768.0,,,,,,,,,,73.21,
277,278,[voyage-4-large](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,,,,,,,,,,56.08,
278,279,[voyage-4](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,,,,,,,,,,55.24,
279,280,[Cohere-embed-v4.0](https://docs.cohere.com/docs/cohere-embed),⚠️ NA,,,1536.0,128000.0,,,,,,,,,,49.42,
280,281,[Cohere-embed-v4.0 (output_dtype=int8)](https://docs.cohere.com/docs/embeddings),⚠️ NA,,,1536.0,128000.0,,,,,,,,,,49.24,
281,282,[voyage-4-lite](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,,,,,,,,,,52.8,
282,283,[Cohere-embed-v4.0 (output_dtype=binary)](https://docs.cohere.com/docs/embeddings),⚠️ NA,,,1536.0,128000.0,,,,,,,,,,48.19,
283,284,[Dmeta-embedding-zh-small](https://huggingface.co/DMetaSoul/Dmeta-embedding-zh-small/),⚠️ NA,283.0,0.074,768.0,1024.0,,,,48.95,,,,53.68,,,
284,285,[PIXIE-Rune-v1.0](https://huggingface.co/telepix/PIXIE-Rune-v1.0),99%,2166.0,0.568,1024.0,6144.0,,,,,,,,,,43.83,
285,286,[stella-large-zh-v3-1792d](https://huggingface.co/dunzhang/stella-large-zh-v3-1792d),100%,,0.327,1792.0,512.0,,,,52.81,,,,52.41,,,
286,287,[stella-base-zh-v3-1792d](https://huggingface.co/infgrad/stella-base-zh-v3-1792d),100%,,0.104,1792.0,512.0,,,,52.97,,,,51.98,,,
287,288,[m3e-base](https://huggingface.co/moka-ai/m3e-base),99%,390.0,0.102,768.0,512.0,,,,54.67,,,,47.6,,,
288,289,[text2vec-base-chinese-paraphrase](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase),100%,450.0,0.118,768.0,512.0,,,,46.75,,,,54.05,,,
289,290,[piccolo-base-zh](https://huggingface.co/sensenova/piccolo-base-zh),⚠️ NA,,0.102,768.0,512.0,,,,51.29,,,,51.01,,,
290,291,[gte-base-zh](https://huggingface.co/thenlper/gte-base-zh),⚠️ NA,195.0,0.102,1024.0,512.0,,,,47.89,,,,51.89,,,
291,292,[m3e-large](https://huggingface.co/moka-ai/m3e-large),99%,,0.326,768.0,512.0,,,,49.8,,,,49.88,,,
292,293,[gte-base-en-v1.5](https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5),⚠️ NA,,0.137,768.0,8192.0,,,,,,,,,,21.27,
293,294,[bge-large-en](https://huggingface.co/BAAI/bge-large-en),99%,1242.0,0.335,1024.0,512.0,,,,,,,,,,21.26,
294,295,[gte-small-zh](https://huggingface.co/thenlper/gte-small-zh),⚠️ NA,58.0,0.03,1024.0,512.0,,,,47.0,,,,48.95,,,
295,296,[gte-large-zh](https://huggingface.co/thenlper/gte-large-zh),⚠️ NA,621.0,0.326,1024.0,512.0,,,,44.15,,,,51.74,,,
296,297,[pubmedbert-base-embeddings-2M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-2M),100%,7.0,0.002,64.0,,,,,,35.39,,,,,36.57,
297,298,[m3e-small](https://huggingface.co/moka-ai/m3e-small),99%,,0.024,512.0,512.0,,,,49.32,,,,46.65,,,
298,299,[pubmedbert-base-embeddings-1M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-1M),100%,2.0,0.001,64.0,,,,,,35.07,,,,,37.32,
299,300,[pubmedbert-base-embeddings-8M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-8M),100%,30.0,0.008,256.0,,,,,,34.61,,,,,39.84,
300,301,[sbert-chinese-general-v1](https://huggingface.co/DMetaSoul/sbert-chinese-general-v1),99%,,0.102,128.0,512.0,,,,47.01,,,,46.64,,,
301,302,[bge-base-en](https://huggingface.co/BAAI/bge-base-en),99%,390.0,0.109,768.0,512.0,,,,,,,,,,18.4,
302,303,[pubmedbert-base-embeddings-500K](https://huggingface.co/NeuML/pubmedbert-base-embeddings-500K),100%,2.0,0.001,64.0,,,,,,34.25,,,,,35.37,
303,304,[Arabic-Triplet-Matryoshka-V2](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-Triplet-Matryoshka-V2),100%,516.0,0.135,768.0,768.0,,,,,,,,,,,33.31
304,305,[pubmedbert-base-embeddings-100K](https://huggingface.co/NeuML/pubmedbert-base-embeddings-100K),100%,,0.0,64.0,,,,,,32.9,,,,,17.35,
305,306,[M2V_multilingual_output](https://huggingface.co/minishlab/M2V_multilingual_output),⚠️ NA,489.0,0.128,256.0,,,,,,,,,,,14.16,
306,307,[zpoint_large_embedding_zh](https://huggingface.co/iampanda/zpoint_large_embedding_zh),99%,1242.0,0.326,1792.0,512.0,,,,53.16,,,,,,,
307,308,[Ops-MoA-Yuan-embedding-1.0](https://huggingface.co/OpenSearch-AI/Ops-MoA-Yuan-embedding-1.0),99%,1242.0,0.343,1536.0,512.0,,,,,,,,,,93.2,
308,309,[ListConRanker](https://huggingface.co/ByteDance/ListConRanker),99%,1242.0,0.401,1024.0,512.0,,,,,,,,,69.15,,
309,309,[stella-mrl-large-zh-v3.5-1792d](https://huggingface.co/dunzhang/stella-large-zh-v3-1792d),100%,1242.0,0.326,1792.0,512.0,,,,52.48,,,,,,,
310,311,[Ops-MoA-Conan-embedding-v1](https://huggingface.co/OpenSearch-AI/Ops-MoA-Conan-embedding-v1),99%,1308.0,0.343,1536.0,512.0,,,,,,,,,,92.66,
311,312,[C2LLM-7B](https://huggingface.co/codefuse-ai/C2LLM-7B),99%,14624.0,7.667,3584.0,32768.0,,,,,,,,,,94.85,
312,312,[XYZ-embedding](https://huggingface.co/fangxq/XYZ-embedding),99%,1242.0,0.326,768.0,512.0,,,,,,,,,,90.76,
313,314,[Qodo-Embed-1-7B](https://huggingface.co/Qodo/Qodo-Embed-1-7B),⚠️ NA,29040.0,7.069,3584.0,32768.0,,,,,,,,,,94.0,
314,315,[Qodo-Embed-1-1.5B](https://huggingface.co/Qodo/Qodo-Embed-1-1.5B),⚠️ NA,6776.0,1.543,1536.0,32768.0,,,,,,,,,,91.92,
315,316,[C2LLM-0.5B](https://huggingface.co/codefuse-ai/C2LLM-0.5B),99%,948.0,0.497,896.0,32768.0,,,,,,,,,,89.4,
316,317,[BiCA-base](https://huggingface.co/bisectgroup/BiCA-base),100%,418.0,0.109,768.0,512.0,,,,,,,,,,22.01,
317,318,[english_code_retriever](https://huggingface.co/fyaronskiy/english_code_retriever),100%,568.0,0.149,768.0,8192.0,,,,,,,,,,56.53,
